	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
C1QB	3.816287e-124	 1.2373454	0.993	0.458	6.794899e-120	0	C1QB
C1QA	 6.803114e-95	 1.0045573	0.935	0.410	 1.211294e-90	0	C1QA
FCGBP	 1.348052e-84	 1.2430384	0.869	0.353	 2.400207e-80	0	FCGBP
CD163	 5.287034e-69	 0.7524446	0.778	0.249	 9.413565e-65	0	CD163
CD74	 1.876444e-64	 0.6812035	0.980	0.532	 3.341009e-60	0	CD74
CTSB	 2.848580e-63	 0.7979765	0.912	0.557	 5.071897e-59	0	CTSB
C1QC	 2.968140e-61	 0.7666947	0.814	0.332	 5.284774e-57	0	C1QC
CD14	 4.450372e-59	 0.7994753	0.729	0.258	 7.923888e-55	0	CD14
HLA-DRA	 2.421798e-55	 0.5738814	0.938	0.478	 4.312012e-51	0	HLA-DRA
SRGN	 3.761635e-54	 0.6225373	0.912	0.450	 6.697592e-50	0	SRGN
STAB1	 8.145905e-54	 0.7839162	0.657	0.212	 1.450378e-49	0	STAB1
LAPTM5	 2.837493e-49	 0.5965886	0.824	0.359	 5.052157e-45	0	LAPTM5
FCER1G	 4.137943e-47	 0.6052955	0.765	0.317	 7.367608e-43	0	FCER1G
CLU	 4.866043e-46	-1.4504131	0.503	0.762	 8.663989e-42	0	CLU
SPARCL1	 1.066021e-43	-0.8611998	0.124	0.530	 1.898051e-39	0	SPARCL1
B2M	 3.288362e-43	 0.5156084	0.990	0.914	 5.854929e-39	0	B2M
MT1X	 1.560229e-42	-1.2792256	0.304	0.642	 2.777987e-38	0	MT1X
PLTP	 6.906324e-38	 0.5654771	0.608	0.275	 1.229671e-33	0	PLTP
PFN1	 1.022011e-36	 0.5082078	0.712	0.416	 1.819691e-32	0	PFN1
SMARCA5	 1.349919e-34	-0.8599128	0.150	0.505	 2.403530e-30	0	SMARCA5
MT1G	 2.443493e-34	-1.0166520	0.124	0.466	 4.350639e-30	0	MT1G
SPP1	 7.655819e-33	 0.4937523	0.925	0.617	 1.363119e-28	0	SPP1
S100A9	 9.700289e-33	 0.4809141	0.379	0.084	 1.727136e-28	0	S100A9
MT1XP1	 1.211892e-32	-0.7712337	0.085	0.404	 2.157774e-28	0	MT1XP1
C3	 9.615013e-32	 0.4893594	0.905	0.592	 1.711953e-27	0	C3
CNN3	 1.304854e-31	-0.5504423	0.062	0.378	 2.323293e-27	0	CNN3
TSPAN31	 2.541000e-31	-0.6300939	0.095	0.420	 4.524251e-27	0	TSPAN31
MT3	 4.425150e-31	-0.9299168	0.255	0.593	 7.878980e-27	0	MT3
DNAJC30	 2.381939e-30	 0.6032307	0.716	0.406	 4.241042e-26	0	DNAJC30
CDK4	 2.430753e-30	-0.6964898	0.163	0.490	 4.327955e-26	0	CDK4
HLA-DRB1	 7.171939e-30	 0.4021275	0.768	0.400	 1.276964e-25	0	HLA-DRB1
SPARC	 1.384735e-29	-0.7298792	0.154	0.475	 2.465521e-25	0	SPARC
TGFBI	 1.848212e-29	 0.4955939	0.408	0.125	 3.290741e-25	0	TGFBI
CPE	 4.668392e-29	-0.7147430	0.147	0.462	 8.312072e-25	0	CPE
RP11-745C15.2	 8.545342e-29	-0.5964679	0.114	0.427	 1.521498e-24	0	RP11-745C15.2
TYMP	 1.462044e-28	 0.4428915	0.516	0.189	 2.603169e-24	0	TYMP
TMSB10	 1.721110e-28	 0.4478367	0.928	0.764	 3.064437e-24	0	TMSB10
APP	 2.111286e-28	-0.5277604	0.105	0.422	 3.759145e-24	0	APP
RP11-620J15.3	 6.548363e-28	-0.6175629	0.144	0.451	 1.165936e-23	0	RP11-620J15.3
EGR1	 9.770565e-28	-0.9157153	0.258	0.556	 1.739649e-23	0	EGR1
ITGB2	 1.512382e-27	 0.4391098	0.539	0.232	 2.692797e-23	0	ITGB2
THBS1	 2.040608e-27	 0.4800078	0.258	0.041	 3.633302e-23	0	THBS1
TMSB4X	 4.426630e-27	 0.4300961	0.974	0.925	 7.881615e-23	0	TMSB4X
JUN	 4.726721e-27	-0.9384868	0.252	0.542	 8.415927e-23	0	JUN
ALOX5AP	 7.469911e-27	 0.4650785	0.552	0.238	 1.330018e-22	0	ALOX5AP
SERPINA1	 9.497092e-27	 0.3533833	0.356	0.093	 1.690957e-22	0	SERPINA1
NPC2	 1.940851e-26	 0.4496653	0.657	0.358	 3.455685e-22	0	NPC2
TYROBP	 2.687015e-26	 0.3771205	0.739	0.392	 4.784231e-22	0	TYROBP
CFL1	 3.025968e-26	 0.3994581	0.693	0.536	 5.387735e-22	0	CFL1
S100A8	 4.575404e-26	 0.4375761	0.343	0.089	 8.146507e-22	0	S100A8
MT1E	 6.305388e-26	-0.6370883	0.124	0.417	 1.122674e-21	0	MT1E
LANCL2	 8.421489e-26	-0.4247450	0.029	0.280	 1.499446e-21	0	LANCL2
CSF1R	 4.229332e-25	 0.4155569	0.510	0.204	 7.530325e-21	0	CSF1R
CYBA	 1.554147e-24	 0.4038307	0.663	0.332	 2.767159e-20	0	CYBA
CCL3	 1.852467e-24	-0.2839094	0.660	0.401	 3.298317e-20	0	CCL3
NGFRAP1	 6.666063e-24	-0.3213846	0.052	0.305	 1.186892e-19	0	NGFRAP1
MT2P1	 7.589379e-24	-0.6260079	0.072	0.334	 1.351289e-19	0	MT2P1
AIF1	 8.447560e-24	 0.4126664	0.536	0.244	 1.504088e-19	0	AIF1
GADD45A	 9.826524e-24	-0.3858524	0.056	0.316	 1.749613e-19	0	GADD45A
PTPRZ1	 1.098540e-23	-0.3337140	0.042	0.292	 1.955951e-19	0	PTPRZ1
GPX1	 1.140650e-23	 0.4038282	0.837	0.570	 2.030927e-19	0	GPX1
GPM6B	 1.591976e-23	-0.3560556	0.046	0.294	 2.834513e-19	0	GPM6B
DCN	 2.377872e-23	-0.6585777	0.190	0.447	 4.233801e-19	0	DCN
IGFBP5	 3.136955e-23	-0.9201032	0.150	0.419	 5.585348e-19	0	IGFBP5
FCGR2B	 1.132520e-22	 0.3135424	0.284	0.063	 2.016451e-18	0	FCGR2B
ACTB	 1.335509e-22	 0.3667167	0.997	0.974	 2.377874e-18	0	ACTB
MT2A	 1.397442e-22	-1.0088182	0.814	0.902	 2.488145e-18	0	MT2A
F13A1	 8.659288e-22	 0.2527527	0.275	0.059	 1.541786e-17	0	F13A1
CRYAB	 1.056135e-21	-0.5706370	0.085	0.333	 1.880449e-17	0	CRYAB
VAMP8	 1.329260e-21	 0.3502114	0.366	0.128	 2.366747e-17	0	VAMP8
NFIX	 1.956575e-21	-0.2753616	0.023	0.234	 3.483681e-17	0	NFIX
ARHGDIB	 2.605852e-21	 0.3149317	0.392	0.139	 4.639720e-17	0	ARHGDIB
HLA-DPA1	 4.807433e-21	 0.3527108	0.676	0.365	 8.559634e-17	0	HLA-DPA1
NNMT	 5.142221e-21	-0.4208369	0.069	0.300	 9.155725e-17	0	NNMT
CYR61	 5.450932e-21	-0.6476748	0.069	0.298	 9.705384e-17	0	CYR61
RGS1	 8.797931e-21	 0.3936017	0.605	0.303	 1.566472e-16	0	RGS1
PLAUR	 1.024574e-20	 0.4558601	0.484	0.227	 1.824254e-16	0	PLAUR
SCG2	 1.336691e-20	-0.4682371	0.101	0.345	 2.379978e-16	0	SCG2
EGFR	 2.027934e-20	-0.5316637	0.137	0.391	 3.610736e-16	0	EGFR
NR4A1	 2.849894e-20	 0.4114666	0.592	0.303	 5.074236e-16	0	NR4A1
ATP1B2	 7.219352e-20	-0.3048834	0.033	0.238	 1.285406e-15	0	ATP1B2
TSFM	 7.395356e-20	-0.2995883	0.049	0.275	 1.316743e-15	0	TSFM
SLC16A3	 8.759916e-20	 0.3480850	0.405	0.152	 1.559703e-15	0	SLC16A3
TUBB	 1.112278e-19	 0.3678415	0.307	0.178	 1.980411e-15	0	TUBB
EFEMP1	 1.515297e-19	-0.3529644	0.049	0.262	 2.697986e-15	0	EFEMP1
VSIG4	 1.722000e-19	 0.3516887	0.408	0.160	 3.066021e-15	0	VSIG4
FCGR3A	 2.157962e-19	 0.3644582	0.451	0.197	 3.842252e-15	0	FCGR3A
TUBA1A	 2.496075e-19	-0.5193605	0.222	0.488	 4.444261e-15	0	TUBA1A
AEBP1	 2.650814e-19	-0.5125940	0.062	0.288	 4.719774e-15	0	AEBP1
UBBP4	 5.513476e-19	-0.3394952	0.134	0.398	 9.816744e-15	0	UBBP4
CKB	 7.490331e-19	-0.3669081	0.101	0.347	 1.333653e-14	0	CKB
GPR183	 1.758442e-18	 0.3568218	0.395	0.152	 3.130905e-14	0	GPR183
MT1L	 2.185494e-18	-0.2628148	0.029	0.224	 3.891273e-14	0	MT1L
AQP4	 2.210488e-18	-0.2520264	0.013	0.187	 3.935773e-14	0	AQP4
SRPX	 2.656419e-18	-0.2974556	0.042	0.243	 4.729754e-14	0	SRPX
S100A4	 2.871251e-18	 0.3216334	0.327	0.122	 5.112263e-14	0	S100A4
APOC1	 3.124354e-18	 0.3024746	0.739	0.453	 5.562912e-14	0	APOC1
HAMP	 3.728725e-18	 0.3620941	0.271	0.072	 6.638995e-14	0	HAMP
SGK1	 5.807538e-18	 0.3050387	0.578	0.296	 1.034032e-13	0	SGK1
LGALS3	 1.011668e-17	-0.3205264	0.078	0.303	 1.801274e-13	0	LGALS3
FTLP3	 1.839118e-17	-0.5252977	0.408	0.672	 3.274550e-13	0	FTLP3
SAT1	 3.383808e-17	 0.3066193	0.768	0.496	 6.024870e-13	0	SAT1
HIST2H2AA4	 3.847876e-17	-0.5374229	0.235	0.489	 6.851143e-13	0	HIST2H2AA4
PPDPF	 4.784156e-17	-0.2832865	0.082	0.308	 8.518190e-13	0	PPDPF
CTSZ	 5.325729e-17	 0.3278998	0.510	0.256	 9.482460e-13	0	CTSZ
CFH	 7.340545e-17	-0.3144373	0.046	0.240	 1.306984e-12	0	CFH
CTDSP2	 1.198820e-16	-0.3710956	0.101	0.331	 2.134500e-12	0	CTDSP2
RNASET2	 1.406118e-16	 0.3281734	0.582	0.312	 2.503593e-12	0	RNASET2
GAP43	 1.809053e-16	-0.3123089	0.033	0.211	 3.221019e-12	0	GAP43
ATP1B3	 2.277230e-16	 0.4162867	0.516	0.291	 4.054608e-12	0	ATP1B3
OLFM2	 2.457964e-16	-0.2598251	0.016	0.177	 4.376406e-12	0	OLFM2
TPT1	 4.529598e-16	 0.3006496	0.915	0.824	 8.064949e-12	0	TPT1
SCRG1	 5.051625e-16	-0.2735685	0.023	0.191	 8.994418e-12	0	SCRG1
COTL1	 7.937359e-16	 0.3260009	0.471	0.253	 1.413247e-11	0	COTL1
MGP	 1.193073e-15	-0.8625477	0.248	0.456	 2.124267e-11	0	MGP
CCL3L3	 1.375013e-15	-0.4204960	0.412	0.306	 2.448210e-11	0	CCL3L3
SLC2A5	 1.502596e-15	 0.2976822	0.408	0.175	 2.675372e-11	0	SLC2A5
PSAP	 3.983848e-15	 0.3376386	0.794	0.667	 7.093241e-11	0	PSAP
TUBA1B	 4.598291e-15	 0.3475734	0.552	0.451	 8.187257e-11	0	TUBA1B
C8orf4	 4.791110e-15	-0.3154647	0.036	0.209	 8.530571e-11	0	C8orf4
GFAP	 5.097926e-15	-0.8259516	0.092	0.267	 9.076857e-11	0	GFAP
ITM2C	 5.102922e-15	-0.2896827	0.042	0.216	 9.085752e-11	0	ITM2C
ARPC1B	 5.427444e-15	 0.2821692	0.353	0.154	 9.663564e-11	0	ARPC1B
SLC16A7	 5.764361e-15	-0.2593438	0.029	0.196	 1.026345e-10	0	SLC16A7
IL1RN	 1.304686e-14	 0.3549858	0.448	0.211	 2.322993e-10	0	IL1RN
C1R	 1.424971e-14	-0.2766843	0.042	0.210	 2.537161e-10	0	C1R
A2M	 1.700012e-14	 0.2778318	0.709	0.455	 3.026872e-10	0	A2M
IFI6	 1.750824e-14	-0.7815581	0.497	0.692	 3.117343e-10	0	IFI6
RPS24	 2.207914e-14	 0.2996993	0.647	0.551	 3.931191e-10	0	RPS24
FABP7	 3.713570e-14	-0.2583222	0.029	0.187	 6.612011e-10	0	FABP7
NES	 4.173223e-14	-0.2764314	0.062	0.246	 7.430423e-10	0	NES
CHI3L1	 6.526786e-14	-1.2115461	0.448	0.617	 1.162094e-09	0	CHI3L1
HLA-E	 8.024463e-14	 0.3134701	0.598	0.362	 1.428756e-09	0	HLA-E
C5AR1	 1.216520e-13	 0.3133734	0.435	0.217	 2.166014e-09	0	C5AR1
IGFBP7	 2.250496e-13	-0.3751224	0.069	0.245	 4.007009e-09	0	IGFBP7
RHOB	 2.599833e-13	-0.3606758	0.284	0.502	 4.629002e-09	0	RHOB
JUNB	 3.003622e-13	-0.4276996	0.212	0.421	 5.347949e-09	0	JUNB
AQP1	 3.306569e-13	-0.4763798	0.078	0.237	 5.887346e-09	0	AQP1
SERPINE1	 4.053908e-13	-0.3120579	0.052	0.218	 7.217984e-09	0	SERPINE1
MS4A6A	 4.625497e-13	 0.2579925	0.284	0.128	 8.235697e-09	0	MS4A6A
NR4A3	 8.187013e-13	 0.2775618	0.546	0.311	 1.457698e-08	0	NR4A3
TNC	 1.477382e-12	-0.3235298	0.033	0.178	 2.630479e-08	0	TNC
ZFP36L2	 1.670278e-12	-0.2827438	0.101	0.286	 2.973930e-08	0	ZFP36L2
CTSD	 2.008167e-12	 0.3532053	0.641	0.437	 3.575541e-08	0	CTSD
GNAS	 2.563047e-12	-0.3938145	0.284	0.490	 4.563506e-08	0	GNAS
FOS	 3.718742e-12	-0.5856889	0.474	0.639	 6.621220e-08	0	FOS
FABP5	 4.042127e-12	-0.3873119	0.196	0.403	 7.197008e-08	0	FABP5
C1orf61	 5.358489e-12	-0.4354466	0.056	0.204	 9.540789e-08	0	C1orf61
SLCO2B1	 9.292425e-12	 0.2650133	0.415	0.210	 1.654516e-07	0	SLCO2B1
IFI27	 2.408228e-11	 0.3209580	0.399	0.205	 4.287850e-07	0	IFI27
OLR1	 2.731638e-11	 0.3022488	0.552	0.331	 4.863681e-07	0	OLR1
CALM1	 9.308014e-11	-0.3019680	0.235	0.434	 1.657292e-06	0	CALM1
RPS27	 1.555426e-10	-0.2640314	0.575	0.770	 2.769436e-06	0	RPS27
CHI3L2	 2.646835e-10	-0.3154647	0.049	0.182	 4.712690e-06	0	CHI3L2
FTH1P7	 3.008511e-10	-0.2715827	0.183	0.384	 5.356654e-06	0	FTH1P7
FTLP2	 3.313301e-10	-0.3292043	0.275	0.480	 5.899332e-06	0	FTLP2
S100A6	 4.515421e-10	-0.4071221	0.196	0.366	 8.039708e-06	0	S100A6
ADM	 7.192466e-10	-0.2814043	0.049	0.186	 1.280619e-05	0	ADM
CD63	 9.538311e-10	-0.3154457	0.490	0.676	 1.698296e-05	0	CD63
JUND	 1.345198e-09	-0.3178834	0.461	0.654	 2.395125e-05	0	JUND
HSPA1A	 1.654758e-09	 0.3580878	0.621	0.430	 2.946297e-05	0	HSPA1A
ID3	 1.697457e-09	-0.3134583	0.059	0.188	 3.022322e-05	0	ID3
FLNA	 1.903383e-09	-0.2799016	0.065	0.207	 3.388974e-05	0	FLNA
DBI	 1.905572e-09	-0.2700154	0.291	0.491	 3.392870e-05	0	DBI
TIMP1	 6.123178e-09	-0.3170232	0.255	0.427	 1.090232e-04	0	TIMP1
ATP1A2	 1.230409e-08	-0.3425513	0.052	0.165	 2.190744e-04	0	ATP1A2
TAGLN	 1.662768e-08	-0.2945267	0.020	0.111	 2.960558e-04	0	TAGLN
UBB	 3.171402e-08	-0.2578493	0.529	0.699	 5.646680e-04	0	UBB
ACTG1	 5.817664e-08	-0.2847235	0.549	0.697	 1.035835e-03	0	ACTG1
ANXA1	 8.282797e-08	 0.2579664	0.386	0.243	 1.474752e-03	0	ANXA1
SLPI	 1.642516e-07	-0.3718994	0.114	0.228	 2.924500e-03	0	SLPI
MALAT1	 1.824008e-07	-0.5662468	0.778	0.824	 3.247646e-03	0	MALAT1
CD74.1	 5.409396e-57	 0.7348583	0.991	0.559	 9.631429e-53	1	CD74
SAT1.1	 4.063025e-51	 0.7271203	0.927	0.481	 7.234215e-47	1	SAT1
HLA-DRB1.1	 2.496336e-50	 0.6859704	0.897	0.397	 4.444726e-46	1	HLA-DRB1
APOC1.1	 3.670978e-49	 0.9029740	0.884	0.442	 6.536176e-45	1	APOC1
HLA-DRA.1	 1.061470e-48	 0.6876824	0.957	0.504	 1.889947e-44	1	HLA-DRA
TREM2	 2.207991e-42	 0.5377383	0.647	0.192	 3.931329e-38	1	TREM2
GPX1.1	 6.127637e-40	 0.5695374	0.940	0.566	 1.091026e-35	1	GPX1
TYROBP.1	 8.339983e-37	 0.5760221	0.828	0.397	 1.484934e-32	1	TYROBP
OLR1.1	 1.668908e-35	 0.5486489	0.750	0.306	 2.971491e-31	1	OLR1
HLA-DRB5	 4.515781e-35	 0.5304255	0.556	0.163	 8.040347e-31	1	HLA-DRB5
SPP1.1	 5.099106e-35	 0.5412527	0.961	0.630	 9.078958e-31	1	SPP1
SRGN.1	 3.140280e-34	 0.3973463	0.897	0.483	 5.591269e-30	1	SRGN
CLU.1	 8.655054e-34	-1.4036992	0.534	0.739	 1.541032e-29	1	CLU
HLA-DPA1.1	 2.059642e-33	 0.5999784	0.776	0.365	 3.667193e-29	1	HLA-DPA1
PADI2	 8.322448e-33	 0.4559024	0.401	0.074	 1.481812e-28	1	PADI2
HLA-DRB6	 1.955320e-32	 0.5217468	0.685	0.274	 3.481447e-28	1	HLA-DRB6
MT1X.1	 9.864599e-31	-1.2034158	0.293	0.623	 1.756392e-26	1	MT1X
APOC1P1	 1.258536e-30	 0.6556603	0.578	0.212	 2.240824e-26	1	APOC1P1
GAPDH	 3.781351e-29	-0.6862084	0.763	0.899	 6.732695e-25	1	GAPDH
LAPTM5.1	 1.000133e-27	 0.4296881	0.789	0.396	 1.780737e-23	1	LAPTM5
HLA-DPB1	 1.169482e-27	 0.4994839	0.642	0.261	 2.082263e-23	1	HLA-DPB1
ITM2B	 2.007339e-26	 0.4422955	0.772	0.425	 3.574067e-22	1	ITM2B
MT1G.1	 4.822671e-26	-0.7546806	0.112	0.446	 8.586766e-22	1	MT1G
MT1XP1.1	 6.077251e-25	-0.6986998	0.069	0.387	 1.082055e-20	1	MT1XP1
MT2A.1	 8.634725e-25	-1.0347157	0.862	0.886	 1.537413e-20	1	MT2A
ITGAX	 1.398903e-24	 0.3400239	0.319	0.061	 2.490746e-20	1	ITGAX
DCN.1	 4.938421e-24	-0.7218477	0.147	0.439	 8.792859e-20	1	DCN
CYBA.1	 5.361302e-24	 0.3788531	0.711	0.344	 9.545798e-20	1	CYBA
C3.1	 1.378995e-23	 0.4295040	0.914	0.610	 2.455301e-19	1	C3
MT3.1	 2.700698e-23	-0.9323227	0.315	0.559	 4.808593e-19	1	MT3
HLA-DMB	 1.949838e-22	 0.3454514	0.448	0.141	 3.471687e-18	1	HLA-DMB
CPE.1	 2.729529e-22	-0.7039941	0.147	0.442	 4.859926e-18	1	CPE
