	0	1	2	3	4	5	6	7	8	9	10
ZNF367	0.0065359477124183	0.00862068965517241	0	0	0	0	0.027027027027027	0	0	0	0
AL590762.11	0.0065359477124183	0.00862068965517241	0.0184331797235023	0.0620689655172414	0.0220588235294118	0.0300751879699248	0.027027027027027	0.0588235294117647	0	0	0
HDHD2	0.0261437908496732	0.0431034482758621	0.0368663594470046	0.0275862068965517	0.0661764705882353	0.0300751879699248	0.027027027027027	0.0294117647058824	0	0	0
RP11-298I3.4	0	0	0	0.00689655172413793	0.00735294117647059	0	0.00900900900900901	0.0294117647058824	0	0	0
TMEM53	0.00326797385620915	0.00431034482758621	0.00460829493087558	0.0275862068965517	0	0.0225563909774436	0.018018018018018	0	0	0	0
AC108039.1	0	0.00431034482758621	0.00460829493087558	0	0	0.0075187969924812	0.00900900900900901	0	0	0	0
RP1-249H1.3	0.0163398692810458	0.0172413793103448	0.0368663594470046	0	0.0220588235294118	0.0150375939849624	0.045045045045045	0.0588235294117647	0	0	0
SLC25A14	0.00326797385620915	0.00431034482758621	0	0.00689655172413793	0.0514705882352941	0	0.027027027027027	0	0	0	0
FAAP100	0.0294117647058823	0.0517241379310345	0.0184331797235023	0.00689655172413793	0.0294117647058824	0.0075187969924812	0.0630630630630631	0.0294117647058824	0.0294117647058824	0	0
DNM1	0	0	0	0	0.0514705882352941	0.0150375939849624	0	0	0	0	0
DHFRL1	0.0163398692810458	0	0	0.0137931034482759	0.00735294117647059	0	0.00900900900900901	0	0.0294117647058824	0	0.111111111111111
CCP110	0.00980392156862745	0.0258620689655172	0.00460829493087558	0	0.00735294117647059	0.0075187969924812	0.027027027027027	0	0	0	0
STARD8	0.065359477124183	0.0732758620689655	0.0460829493087558	0.00689655172413793	0.00735294117647059	0	0	0	0	0.1	0.222222222222222
SNX11	0.0130718954248366	0.0344827586206897	0.0368663594470046	0.0344827586206897	0.0294117647058824	0.0225563909774436	0.018018018018018	0.0294117647058824	0.0882352941176471	0	0
CNTLN	0.0065359477124183	0.0129310344827586	0.00921658986175115	0.00689655172413793	0.0220588235294118	0	0.00900900900900901	0.0294117647058824	0	0	0
SKA2	0.0196078431372549	0.0344827586206897	0.0276497695852535	0.0896551724137931	0.0294117647058823	0.0601503759398496	0.0540540540540541	0.0294117647058824	0.0294117647058824	0	0.333333333333333
CIB1	0.127450980392157	0.202586206896552	0.129032258064516	0.096551724137931	0.139705882352941	0.120300751879699	0.144144144144144	0.0588235294117647	0.0882352941176471	0.15	0
KB-1125A3.11	0	0	0	0.0137931034482759	0.00735294117647059	0	0	0	0	0	0
NDUFB9	0.176470588235294	0.228448275862069	0.193548387096774	0.441379310344828	0.205882352941176	0.293233082706767	0.225225225225225	0.264705882352941	0.117647058823529	0.4	0.555555555555555
