	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
HMGN2	 0.000000e+00	 1.5075436	0.994	0.613	 0.000000e+00	0	HMGN2
H2AFZ	2.717361e-322	 1.1493234	0.994	0.797	6.594220e-318	0	H2AFZ
TYMS	2.540639e-302	 1.3042351	0.829	0.068	6.165368e-298	0	TYMS
SNRPB	1.485221e-291	 0.9722529	0.970	0.669	3.604187e-287	0	SNRPB
HMGB2	3.634694e-288	 1.4004050	0.954	0.350	8.820312e-284	0	HMGB2
PCNA	4.682647e-283	 1.2944271	0.863	0.268	1.136338e-278	0	PCNA
TUBA1B	1.262975e-275	 1.0682982	1.000	0.978	3.064862e-271	0	TUBA1B
RRM2	2.791837e-272	 1.0926084	0.722	0.035	6.774952e-268	0	RRM2
HMGB1	1.074495e-267	 0.9955989	1.000	0.939	2.607477e-263	0	HMGB1
KIAA0101	3.585769e-264	 1.1392023	0.716	0.039	8.701586e-260	0	KIAA0101
TUBB	6.757794e-263	 1.0190063	0.998	0.921	1.639914e-258	0	TUBB
UBE2C	1.901519e-257	 0.8237690	0.813	0.086	4.614417e-253	0	UBE2C
S100A6	8.556075e-250	-1.9391050	0.714	0.960	2.076303e-245	0	S100A6
BIRC5	5.432135e-247	 0.8595838	0.780	0.074	1.318216e-242	0	BIRC5
CRYAB	1.493585e-237	-2.2904091	0.911	0.988	3.624483e-233	0	CRYAB
C12orf57	6.390989e-236	 1.0191580	0.982	0.657	1.550901e-231	0	C12orf57
TOP2A	9.114807e-232	 0.9662498	0.784	0.083	2.211890e-227	0	TOP2A
PTMA	6.067193e-231	 1.0791340	0.968	0.455	1.472326e-226	0	PTMA
MCM7	8.672500e-229	 1.0716239	0.823	0.178	2.104555e-224	0	MCM7
PTGDS	9.789834e-229	-2.1928317	0.528	0.931	2.375699e-224	0	PTGDS
H1FX	5.487089e-228	 1.2082022	0.917	0.291	1.331552e-223	0	H1FX
TMSB15A	3.071783e-226	 1.1514847	0.913	0.252	7.454296e-222	0	TMSB15A
CLU	3.369279e-224	-1.9861773	0.700	0.960	8.176228e-220	0	CLU
