	0	1	2	3	4	5	6	7	8	9	10	11
AC007228.11	0.00595238095238095	0.0116279069767442	0.0211764705882353	0.0191256830601093	0.0228758169934641	0.0142857142857143	0.00432900432900433	0.0266666666666667	0	0	0.016	0.181818181818182
AC092667.2	0.00198412698412698	0.00232558139534884	0.00941176470588235	0	0	0	0	0	0.00769230769230769	0	0	0
ZNF367	0.426587301587302	0.0302325581395349	0.0305882352941176	0.00546448087431694	0.0294117647058823	0.0357142857142857	0.0562770562770563	0.0266666666666667	0.0153846153846154	0.0476190476190476	0.176	0
SULT1B1	0	0	0.00235294117647059	0	0.00326797385620915	0	0	0	0	0	0	0
TRIM63	0.0555555555555556	1.16279069767442	0.823529411764706	2.54371584699454	0.790849673202614	0.271428571428571	0.0779220779220779	0.593333333333333	0.0307692307692308	0.0158730158730159	0.04	0.181818181818182
AL590762.11	0.23015873015873	0.111627906976744	0.143529411764706	0.147540983606557	0.176470588235294	0.121428571428571	0.16017316017316	0.146666666666667	0.146153846153846	0.126984126984127	0.256	0
HDHD2	0.261904761904762	0.527906976744186	0.569411764705882	0.486338797814208	0.552287581699346	0.482142857142857	0.367965367965368	0.546666666666667	0.261538461538461	0.388888888888889	0.256	0.272727272727273
MORF4L2-AS1	0	0	0.00941176470588235	0.00273224043715847	0	0	0	0	0.00769230769230769	0	0.008	0
RP11-298I3.4	0.00793650793650794	0.0441860465116279	0.0329411764705882	0.0437158469945355	0.0359477124183007	0.0142857142857143	0.00432900432900433	0.0333333333333333	0.00769230769230769	0	0.008	0
TMEM53	0.0496031746031746	0.0813953488372093	0.12	0.155737704918033	0.15359477124183	0.0892857142857143	0.012987012987013	0.153333333333333	0.0538461538461538	0.0476190476190476	0.032	0
RP11-517B11.7	0.00992063492063492	0.00930232558139535	0.00941176470588235	0.0136612021857923	0	0.00357142857142857	0.00865800865800866	0.00666666666666667	0	0.00793650793650794	0.008	0
HRAT92	0	0.00232558139534884	0	0.00546448087431694	0	0.0107142857142857	0	0	0	0	0	0
RP1-249H1.3	0.0218253968253968	0.0209302325581395	0.0141176470588235	0.0109289617486339	0.00980392156862745	0.0107142857142857	0.00865800865800866	0.00666666666666667	0.0307692307692308	0.0158730158730159	0.016	0
PCDHB19P	0.00198412698412698	0.00232558139534884	0.00941176470588235	0.00273224043715847	0.00326797385620915	0	0.00432900432900433	0	0.0153846153846154	0.0158730158730159	0	0
ZBTB12	0.00396825396825397	0	0	0.00273224043715847	0.00326797385620915	0	0.00432900432900433	0	0	0	0.008	0
SLC25A14	0.107142857142857	0.137209302325581	0.124705882352941	0.139344262295082	0.166666666666667	0.160714285714286	0.103896103896104	0.166666666666667	0.0923076923076923	0.103174603174603	0.152	0.454545454545455
FAAP100	0.23015873015873	0.153488372093023	0.129411764705882	0.155737704918033	0.0980392156862745	0.142857142857143	0.212121212121212	0.14	0.215384615384615	0.23015873015873	0.208	0.0909090909090909
PRORSD1P	0.00595238095238095	0.013953488372093	0.0164705882352941	0.0163934426229508	0.0196078431372549	0.0142857142857143	0.00865800865800866	0	0	0	0	0
DNM1	0.198412698412698	0.109302325581395	0.136470588235294	0.133879781420765	0.179738562091503	0.432142857142857	0.177489177489177	0.173333333333333	0.184615384615385	0.555555555555555	0.16	0
DHFRL1	0.0238095238095238	0.0534883720930233	0.0823529411764706	0.0983606557377049	0.0915032679738562	0.0857142857142857	0.0692640692640693	0.0466666666666667	0.0461538461538462	0.0396825396825397	0.072	0
CCP110	0.44047619047619	0.0488372093023256	0.0752941176470588	0.040983606557377	0.0915032679738562	0.0535714285714286	0.12987012987013	0.0866666666666667	0.169230769230769	0.0873015873015873	0.296	0
