"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene" "entrez"
"GFAP" 0 2.38178311710177 0.971 0.667 0 1 "GFAP" "2670"
"APOE" 0 2.15872461541149 0.996 0.863 0 1 "APOE" "348"
"CLU" 0 1.45755911394927 0.992 0.91 0 1 "CLU" "1191"
"AQP4" 0 1.05406421819777 0.925 0.751 0 1 "AQP4" "361"
"TUBA1B" 0 1.12137293666083 0.986 0.8 0 4 "TUBA1B" "10376"
"CD74" 0 2.50310642193315 0.985 0.443 0 5 "CD74" "972"
"HLA-DRA" 0 2.15733104149541 0.958 0.423 0 5 "HLA-DRA" "3122"
"SPP1" 0 2.02912521813801 0.9 0.429 0 5 "SPP1" "6696"
"FTL" 0 1.81190717181063 0.992 0.895 0 5 "FTL" "2512"
"C1QB" 0 1.81188864302179 0.94 0.304 0 5 "C1QB" "713"
"FCGBP" 0 1.71355624386386 0.883 0.344 0 5 "FCGBP" "8857"
"HLA-DRB1" 0 1.67124641304443 0.895 0.392 0 5 "HLA-DRB1" "3123"
"SAT1" 0 1.51431974941952 0.927 0.545 0 5 "SAT1" "6303"
"DUSP1" 0 1.50698934862126 0.929 0.493 0 5 "DUSP1" "1843"
"CCL3" 0 1.46866336978808 0.853 0.345 0 5 "CCL3" "6348"
"RGS1" 0 1.46230735084911 0.864 0.35 0 5 "RGS1" "5996"
"C3" 0 1.46000553484833 0.905 0.303 0 5 "C3" "718"
"APOC1" 0 1.45522513626221 0.843 0.335 0 5 "APOC1" "341"
"SRGN" 0 1.44814440699011 0.92 0.375 0 5 "SRGN" "5552"
"LAPTM5" 0 1.37387259134313 0.885 0.417 0 5 "LAPTM5" "7805"
"CTSB" 0 1.30123795076674 0.915 0.62 0 5 "CTSB" "1508"
"SGK1" 0 1.21723167895707 0.819 0.366 0 5 "SGK1" "6446"
"HLA-DPA1" 0 1.21380860967826 0.829 0.423 0 5 "HLA-DPA1" "3113"
"CCL4" 0 1.18585686234007 0.765 0.292 0 5 "CCL4" "6351"
"CTSD" 0 1.17647750524054 0.864 0.627 0 5 "CTSD" "1509"
"HLA-DPB1" 0 1.14440268375772 0.804 0.49 0 5 "HLA-DPB1" "3115"
"C1QA" 0 1.09888406315395 0.826 0.343 0 5 "C1QA" "712"
"TYROBP" 0 1.03270789111264 0.809 0.283 0 5 "TYROBP" "7305"
"TUBA1B1" 0 1.56774819363803 0.988 0.808 0 6 "TUBA1B" "10376"
"UBE2C" 0 1.28657649455925 0.891 0.533 0 6 "UBE2C" "11065"
"PTTG1" 0 1.27898127289765 0.911 0.574 0 6 "PTTG1" "9232"
"HMGB2" 0 1.21933663714578 0.925 0.617 0 6 "HMGB2" "3148"
"HMGN2" 0 1.14429516608411 0.955 0.748 0 6 "HMGN2" "3151"
"BIRC5" 0 1.07667367768158 0.945 0.634 0 6 "BIRC5" "332"
"CLDN5" 1.0410369634544e-307 2.45961099946419 0.982 0.521 2.08207392690881e-304 9 "CLDN5" "7122"
"IGFBP7" 9.25979474418845e-301 3.04720643134439 0.994 0.726 1.85195894883769e-297 9 "IGFBP7" "3490"
"A2M" 2.56042585866147e-285 2.68698035801569 0.98 0.569 5.12085171732293e-282 9 "A2M" "2"
"HSPG2" 1.55949762488268e-281 1.46283416570116 0.956 0.625 3.11899524976536e-278 9 "HSPG2" "3339"
"ITM2A" 2.40023894871479e-275 2.03118511941823 0.95 0.456 4.80047789742959e-272 9 "ITM2A" "9452"
"COL4A1" 3.35335400472993e-271 1.89908426339034 0.964 0.646 6.70670800945987e-268 9 "COL4A1" "1282"
"TMSB10" 3.46975534520554e-271 1.7037141727151 0.998 0.969 6.93951069041109e-268 9 "TMSB10" "9168"
"SPARC" 5.09906095658666e-265 2.48067540901928 1 0.91 1.01981219131733e-261 9 "SPARC" "6678"
"APOLD1" 2.74442675738736e-254 1.80501501227098 0.935 0.553 5.48885351477472e-251 9 "APOLD1" "81575"
"COL4A2" 6.57683832043637e-253 1.5883188855159 0.949 0.617 1.31536766408727e-249 9 "COL4A2" "1284"
"MCAM" 3.82148785889706e-245 1.00372432265997 0.921 0.426 7.64297571779411e-242 9 "MCAM" "4162"
"VWF" 1.46638536671743e-241 1.48530543023299 0.907 0.513 2.93277073343485e-238 9 "VWF" "7450"
"CA2" 2.12006998999899e-235 1.79035982385625 0.925 0.599 4.24013997999798e-232 9 "CA2" "760"
"SLC38A5" 6.56573223832947e-211 1.35308249702823 0.871 0.434 1.31314644766589e-207 9 "SLC38A5" "92745"
"INSR" 1.38072351637673e-210 1.09483374953703 0.881 0.393 2.76144703275346e-207 9 "INSR" "3643"
"ADGRL4" 7.24239733447029e-206 1.24645753860425 0.881 0.592 1.44847946689406e-202 9 "ADGRL4" "64123"
"PECAM1" 5.67309632201516e-205 1.13513032844291 0.881 0.53 1.13461926440303e-201 9 "PECAM1" "5175"
"ESAM" 5.68540265918202e-199 1.43969618208015 0.879 0.509 1.1370805318364e-195 9 "ESAM" "90952"
"IGFBP3" 1.23702166545729e-198 1.17720117242257 0.855 0.337 2.47404333091458e-195 9 "IGFBP3" "3486"
"MFSD2A" 1.77581285911366e-196 1.23436125006895 0.865 0.43 3.55162571822731e-193 9 "MFSD2A" "84879"
"IFI27" 2.7947550595865e-195 1.24333503646344 0.853 0.316 5.589510119173e-192 9 "IFI27" "3429"
"FLT1" 1.21698526054139e-182 1.07377799708373 0.826 0.381 2.43397052108278e-179 9 "FLT1" "2321"
"RGCC" 3.33077738497833e-180 1.30238015034691 0.879 0.398 6.66155476995666e-177 9 "RGCC" "28984"
"ITGB1" 1.01134149383923e-164 1.07350116931919 0.871 0.524 2.02268298767845e-161 9 "ITGB1" "3688"
"EPAS1" 2.93300544273406e-164 1.15476728172827 0.863 0.657 5.86601088546811e-161 9 "EPAS1" "2034"
"CTGF" 4.34285044483214e-163 1.46605343635102 0.822 0.374 8.68570088966428e-160 9 "CTGF" NA
"GNG11" 1.84491037455806e-148 1.05876549985563 0.867 0.772 3.68982074911612e-145 9 "GNG11" "2791"
"ANGPT2" 6.6504860440863e-141 1.07814776178791 0.81 0.608 1.33009720881726e-137 9 "ANGPT2" "285"
"RGS5" 1.90655187179191e-299 2.82619970055694 0.986 0.689 3.81310374358383e-296 10 "RGS5" "8490"
"FN1" 4.95780921757398e-284 2.96640116698939 0.977 0.404 9.91561843514795e-281 10 "FN1" "2335"
"IGFBP71" 6.32363161122907e-280 2.55002052310886 0.992 0.726 1.26472632224581e-276 10 "IGFBP7" "3490"
"SPARC1" 9.85965909004268e-270 2.36634234326021 0.994 0.91 1.97193181800854e-266 10 "SPARC" "6678"
"COL4A11" 1.95606382226005e-269 2.27003163878941 0.969 0.646 3.91212764452011e-266 10 "COL4A1" "1282"
"THY1" 9.41009641192897e-246 1.48033670057823 0.928 0.457 1.88201928238579e-242 10 "THY1" "7070"
"MIR4435-2HG" 1.08978265993527e-241 1.81486364842498 0.944 0.735 2.17956531987054e-238 10 "MIR4435-2HG" "541471"
"BGN" 5.81338194839293e-237 1.74360130874196 0.915 0.45 1.16267638967859e-233 10 "BGN" "633"
"LGALS1" 4.13768763931556e-226 1.78115641380094 0.961 0.623 8.27537527863112e-223 10 "LGALS1" "3956"
"ITGB11" 6.27977490148965e-225 1.47236203025569 0.925 0.523 1.25595498029793e-221 10 "ITGB1" "3688"
"COL4A21" 4.18360317537288e-219 1.54399813869644 0.919 0.618 8.36720635074577e-216 10 "COL4A2" "1284"
"OLFML3" 1.58442422779331e-216 1.23080474181221 0.89 0.442 3.16884845558662e-213 10 "OLFML3" "56944"
"COL1A2" 1.16789809088269e-213 1.56945811415897 0.867 0.34 2.33579618176538e-210 10 "COL1A2" "1278"
"NDUFA4L2" 9.16214464446717e-208 1.63678873752592 0.89 0.507 1.83242892889343e-204 10 "NDUFA4L2" "56901"
"CALD1" 2.07444023974933e-200 1.55330223913924 0.919 0.718 4.14888047949866e-197 10 "CALD1" "800"
"IFITM3" 7.53717707965232e-179 1.3984110060409 0.944 0.88 1.50743541593046e-175 10 "IFITM3" "10410"
"TMSB4X" 7.0983942483119e-178 1.18119274884133 1 0.988 1.41967884966238e-174 10 "TMSB4X" "7114"
"HIGD1B" 1.17613511693472e-173 1.37222565670225 0.853 0.63 2.35227023386945e-170 10 "HIGD1B" "51751"
"LINC00152" 2.98254200741062e-162 1.29460035157813 0.872 0.677 5.96508401482124e-159 10 "LINC00152" NA
"MGP" 2.3057311111416e-127 1.10893653566257 0.749 0.338 4.6114622222832e-124 10 "MGP" "4256"
"C11orf96" 1.05169136883923e-125 1.05643783335486 0.783 0.478 2.10338273767847e-122 10 "C11orf96" "387763"
"APOLD11" 5.45617462605032e-123 1.0173889663663 0.789 0.556 1.09123492521006e-119 10 "APOLD1" "81575"
"DCN" 1.52970407198176e-116 1.05917965976803 0.882 0.869 3.05940814396352e-113 10 "DCN" "1634"
"TIMP1" 2.86457237949668e-101 1.22148090669801 0.915 0.873 5.72914475899336e-98 10 "TIMP1" "7076"
"TAGLN" 7.15707727393107e-93 1.05796739399703 0.683 0.379 1.43141545478621e-89 10 "TAGLN" "6876"
