	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
APOE	 9.450297e-69	-0.9846907	0.175	0.442	 1.931735e-64	0	APOE
DBI	 1.436104e-62	 0.4101237	0.895	0.684	 2.935540e-58	0	DBI
B2M	 5.986119e-48	-0.6087227	0.440	0.602	 1.223623e-43	0	B2M
CD74	 1.376684e-46	-0.8598717	0.102	0.285	 2.814080e-42	0	CD74
RPS2	 1.334541e-45	 0.3332441	0.915	0.766	 2.727936e-41	0	RPS2
C1QB	 3.549068e-43	-0.7081916	0.091	0.249	 7.254650e-39	0	C1QB
C3	 1.322564e-39	-0.3838520	0.031	0.204	 2.703453e-35	0	C3
MALAT1	 4.082753e-39	-0.5950134	0.661	0.765	 8.345556e-35	0	MALAT1
POSTN	 1.492915e-38	 0.3101209	0.525	0.274	 3.051668e-34	0	POSTN
RPS15	 4.831111e-38	 0.3018835	0.862	0.683	 9.875273e-34	0	RPS15
SRGN	 1.529188e-37	-0.4418641	0.057	0.224	 3.125814e-33	0	SRGN
SPP1	 5.374849e-36	-1.2718236	0.411	0.529	 1.098673e-31	0	SPP1
HLA-B	 1.540865e-35	-0.4895047	0.321	0.489	 3.149683e-31	0	HLA-B
RPS18	 1.138678e-34	 0.2863341	0.868	0.712	 2.327571e-30	0	RPS18
RPL36	 2.512375e-34	 0.2806016	0.839	0.681	 5.135545e-30	0	RPL36
HLA-DRB1	 3.342047e-34	-0.3965494	0.050	0.204	 6.831479e-30	0	HLA-DRB1
FCGBP	 8.378024e-33	-0.6105377	0.091	0.240	 1.712552e-28	0	FCGBP
SEC61G	 1.426770e-32	 0.2851413	0.980	0.921	 2.916461e-28	0	SEC61G
HLA-DRA	 1.631779e-32	-0.5466613	0.134	0.275	 3.335520e-28	0	HLA-DRA
AC007969.5	 4.180261e-32	 0.2757070	0.734	0.507	 8.544871e-28	0	AC007969.5
C1QC	 4.825571e-31	-0.2649252	0.026	0.163	 9.863950e-27	0	C1QC
ZFP36	 8.747786e-31	-0.3525392	0.138	0.327	 1.788135e-26	0	ZFP36
C1QA	 1.074102e-30	-0.3635705	0.057	0.198	 2.195572e-26	0	C1QA
RP11-234A1.1	 1.734916e-30	 0.2684186	0.758	0.554	 3.546343e-26	0	RP11-234A1.1
RPS5	 1.864529e-30	 0.2668331	0.852	0.709	 3.811284e-26	0	RPS5
LAPTM5	 3.596811e-30	-0.2881989	0.037	0.176	 7.352241e-26	0	LAPTM5
APOC1	 6.658628e-30	-0.5338905	0.135	0.258	 1.361090e-25	0	APOC1
GADD45B	 2.231995e-29	-0.2845618	0.080	0.253	 4.562421e-25	0	GADD45B
A2M	 4.493735e-29	-0.3408382	0.085	0.240	 9.185643e-25	0	A2M
EGR1	 5.646514e-29	-0.4276944	0.151	0.336	 1.154204e-24	0	EGR1
HLA-DPA1	 5.917332e-29	-0.2836698	0.043	0.181	 1.209562e-24	0	HLA-DPA1
RPL18A	 7.902847e-28	 0.2625409	0.835	0.712	 1.615421e-23	0	RPL18A
MT3	 8.158692e-28	 0.2535602	0.831	0.651	 1.667718e-23	0	MT3
RPS19P1	 8.563987e-28	 0.2580941	0.801	0.616	 1.750565e-23	0	RPS19P1
RPS2P5	 2.589480e-27	 0.2608797	0.592	0.381	 5.293155e-23	0	RPS2P5
FOS	 1.540645e-26	-0.4601979	0.357	0.497	 3.149233e-22	0	FOS
CTSB	 4.870109e-26	-0.3846810	0.156	0.297	 9.954991e-22	0	CTSB
RP3-486I3.4	 6.353842e-26	 0.2524243	0.647	0.457	 1.298789e-21	0	RP3-486I3.4
SGK1	 9.882231e-26	-0.2847689	0.067	0.204	 2.020027e-21	0	SGK1
GFAP	 1.160452e-25	-0.5322176	0.225	0.344	 2.372079e-21	0	GFAP
RPS19P3	 4.419421e-25	 0.2511892	0.740	0.563	 9.033738e-21	0	RPS19P3
FTL	 5.513874e-25	-0.4781676	0.647	0.735	 1.127091e-20	0	FTL
SAT1	 1.114856e-24	-0.3488448	0.147	0.287	 2.278877e-20	0	SAT1
RP11-122G18.7	 1.558667e-24	 0.2523208	0.642	0.448	 3.186072e-20	0	RP11-122G18.7
HSPA1B	 1.974519e-23	-0.3900999	0.340	0.498	 4.036115e-19	0	HSPA1B
CRYAB	 7.873101e-22	-0.7715487	0.408	0.507	 1.609341e-17	0	CRYAB
HSPA1A	 1.039431e-21	-0.3860049	0.401	0.536	 2.124701e-17	0	HSPA1A
AQP4	 1.104747e-21	-0.3295722	0.117	0.235	 2.258214e-17	0	AQP4
PSAP	 1.150494e-21	-0.3286569	0.265	0.401	 2.351726e-17	0	PSAP
JUNB	 3.593654e-21	-0.2681990	0.192	0.363	 7.345788e-17	0	JUNB
