	0	1	2	3	4	5	6	7	8	9	10	11	12
SLC7A10	0	0	0	0.00539083557951483	0.00275482093663912	0.00754716981132075	0	0	0	0	0	0	0
AC007228.11	0.00142247510668563	0.00149925037481259	0.0018348623853211	0.00539083557951483	0	0.00377358490566038	0	0.00921658986175115	0.00613496932515337	0	0	0	0
ZNF367	0.0142247510668563	0.0389805097451274	0.0036697247706422	0.0134770889487871	0.0165289256198347	0.0150943396226415	0.00398406374501992	0.0230414746543779	0.0306748466257669	0	0	0	0
AL590762.11	0.0384068278805121	0.0659670164917541	0.0146788990825688	0.0970350404312668	0.0247933884297521	0.0566037735849057	0.0358565737051793	0.0368663594470046	0.049079754601227	0.0547945205479452	0.0428571428571429	0.0943396226415094	0.0740740740740741
HDHD2	0.0568990042674253	0.0539730134932534	0.0403669724770642	0.0943396226415094	0.0964187327823691	0.0754716981132075	0.135458167330677	0.0506912442396313	0.0920245398773006	0.0547945205479452	0.0428571428571429	0.0188679245283019	0
MORF4L2-AS1	0	0.00449775112443778	0	0	0	0	0	0	0	0	0	0	0
RP11-384C12.1	0.00142247510668563	0.00299850074962519	0.0055045871559633	0.00539083557951483	0.00550964187327824	0	0.00398406374501992	0	0	0	0	0	0
RP11-298I3.4	0.00142247510668563	0.00149925037481259	0	0	0.00550964187327824	0	0	0	0.00613496932515337	0	0	0	0
TMEM53	0.0042674253200569	0.00449775112443778	0.00917431192660551	0.00808625336927224	0.0192837465564738	0.0150943396226415	0.00796812749003984	0.0184331797235023	0.00613496932515337	0.0273972602739726	0.0142857142857143	0.0188679245283019	0
RP11-517B11.7	0	0.00149925037481259	0.0018348623853211	0.00539083557951483	0	0.00754716981132075	0	0	0	0	0	0	0
HRAT92	0.00142247510668563	0	0.0055045871559633	0	0.00275482093663912	0	0.0119521912350598	0	0	0	0	0	0
AC108039.1	0.00711237553342817	0	0	0.00269541778975741	0	0	0.00398406374501992	0.0138248847926267	0.00613496932515337	0	0.0142857142857143	0	0
RP1-249H1.3	0.0483641536273115	0.0374812593703148	0.0201834862385321	0.0431266846361186	0.0358126721763085	0.0566037735849057	0.0119521912350598	0.0368663594470046	0.0368098159509202	0	0.0142857142857143	0.0188679245283019	0.037037037037037
SLC25A14	0.00711237553342817	0.0119940029985007	0.0073394495412844	0.0188679245283019	0.0110192837465565	0.00377358490566038	0.00398406374501992	0.0184331797235023	0.0245398773006135	0	0.0571428571428571	0.0188679245283019	0
