	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MALAT1	 1.030105e-61	-0.8242324	0.881	0.947	 2.090186e-57	0	MALAT1
RPL32	 1.501212e-51	 0.4254570	0.996	0.961	 3.046109e-47	0	RPL32
RPS2	 1.052742e-37	 0.3698886	0.993	0.967	 2.136119e-33	0	RPS2
RPS16	 1.097647e-35	 0.3514001	0.985	0.941	 2.227235e-31	0	RPS16
RPL41	 9.675480e-35	 0.3275845	0.998	0.962	 1.963252e-30	0	RPL41
SOX4	 8.445588e-32	-0.5755258	0.367	0.617	 1.713694e-27	0	SOX4
JUN	 3.918218e-30	-0.4740890	0.119	0.373	 7.950456e-26	0	JUN
TCF4	 9.930830e-30	-0.4484358	0.246	0.506	 2.015065e-25	0	TCF4
MEG3	 1.135981e-29	-0.5631793	0.146	0.397	 2.305019e-25	0	MEG3
RPL12	 1.389675e-29	 0.3547438	0.878	0.743	 2.819789e-25	0	RPL12
HIST1H4C	 8.182571e-29	 0.4373982	0.257	0.114	 1.660325e-24	0	HIST1H4C
RPS19	 2.063750e-28	 0.3271023	0.996	0.960	 4.187554e-24	0	RPS19
RPS18	 4.461698e-27	 0.3355354	0.960	0.899	 9.053232e-23	0	RPS18
RPLP2	 2.597322e-26	 0.3001919	0.987	0.960	 5.270227e-22	0	RPLP2
RPL37	 1.093042e-25	 0.3047537	0.903	0.774	 2.217892e-21	0	RPL37
RPL37A	 2.769495e-25	 0.2999468	0.980	0.948	 5.619582e-21	0	RPL37A
RPS8	 4.095261e-25	 0.2753784	0.991	0.937	 8.309694e-21	0	RPS8
RPL10	 2.482791e-24	 0.3036680	0.982	0.945	 5.037831e-20	0	RPL10
RPL35	 3.432841e-24	 0.2802126	0.965	0.886	 6.965577e-20	0	RPL35
RPS20	 3.552369e-24	 0.2914740	0.916	0.838	 7.208111e-20	0	RPS20
RPL35A	 6.881058e-24	 0.2781000	0.996	0.970	 1.396235e-19	0	RPL35A
YBX1	 1.523970e-23	 0.3060229	0.869	0.733	 3.092288e-19	0	YBX1
RP11-466H18.1	 2.034056e-23	 0.2955387	0.706	0.582	 4.127302e-19	0	RP11-466H18.1
RPL39	 2.158576e-23	 0.3020543	0.960	0.889	 4.379966e-19	0	RPL39
RPLP1	 5.602653e-22	 0.2660254	0.960	0.913	 1.136834e-17	0	RPLP1
RPL8	 1.447434e-21	 0.2723174	0.909	0.816	 2.936988e-17	0	RPL8
DLX6-AS1	 1.983024e-21	-0.5348558	0.029	0.173	 4.023754e-17	0	DLX6-AS1
SPARCL1	 2.530476e-21	-0.5244530	0.040	0.187	 5.134588e-17	0	SPARCL1
RPL14	 7.977158e-21	 0.2508404	0.942	0.841	 1.618645e-16	0	RPL14
RPL31	 8.083062e-21	 0.2952471	0.969	0.915	 1.640134e-16	0	RPL31
RPS9	 9.014944e-21	 0.2712569	0.834	0.718	 1.829222e-16	0	RPS9
MAP1B	 1.104887e-20	-0.3589868	0.263	0.485	 2.241926e-16	0	MAP1B
RPL36	 2.009293e-20	 0.2718385	0.881	0.747	 4.077057e-16	0	RPL36
