	0	1	2	3	4	5	6	7	8	9	10	11	12	13
SLC7A10	0.294308943089431	0.0682926829268293	0.00543478260869565	0.0542857142857143	0.0309597523219814	0.14828897338403	0	0	0	0.0392156862745098	0.0416666666666667	0.179487179487179	0	0
AC007228.11	0.0048780487804878	0.00650406504065041	0	0.0114285714285714	0.0154798761609907	0.00760456273764259	0	0	0.0441176470588235	0	0	0	0	0
AC092667.2	0	0	0	0	0	0	0.0126582278481013	0.0210526315789474	0	0	0.0208333333333333	0	0	0
ZNF367	0.0016260162601626	0.00650406504065041	0	0.0114285714285714	0.0402476780185759	0	0.00843881856540084	0	0	0	0	0	0	0
SULT1B1	0.0016260162601626	0.0016260162601626	0	0	0	0	0.029535864978903	0	0	0.0196078431372549	0	0	0	0
AL590762.11	0.0130081300813008	0.0357723577235772	0.0244565217391304	0.0257142857142857	0.0712074303405573	0.0190114068441065	0.0337552742616034	0.0315789473684211	0.0441176470588235	0.0588235294117647	0.0208333333333333	0.0256410256410256	0	0.125
HDHD2	0.134959349593496	0.0764227642276423	0.0298913043478261	0.0742857142857143	0.130030959752322	0.144486692015209	0.0506329113924051	0.0210526315789474	0.0441176470588235	0.0392156862745098	0.0208333333333333	0.0512820512820513	0.0588235294117647	0
MORF4L2-AS1	0	0.0016260162601626	0.00271739130434783	0.00571428571428571	0	0.0114068441064639	0	0	0.0147058823529412	0	0	0	0	0
RP11-384C12.1	0	0	0.00543478260869565	0	0.00309597523219814	0	0.00421940928270042	0.0105263157894737	0	0	0	0	0	0
RP11-298I3.4	0.0048780487804878	0.0048780487804878	0	0.00285714285714286	0.00309597523219814	0	0	0.0210526315789474	0	0	0	0	0	0
TMEM53	0.0487804878048781	0.0292682926829268	0.0108695652173913	0.0314285714285714	0.0185758513931889	0.0418250950570342	0.0126582278481013	0.0210526315789474	0.0147058823529412	0.0196078431372549	0.0833333333333333	0.0512820512820513	0.117647058823529	0
RP11-517B11.7	0.0016260162601626	0	0	0.00285714285714286	0.00619195046439629	0.0152091254752852	0	0	0	0	0	0	0	0
HRAT92	0.0032520325203252	0.0016260162601626	0.0108695652173913	0	0	0	0.00421940928270042	0	0	0	0	0	0	0
AC108039.1	0.0032520325203252	0.00650406504065041	0	0.0114285714285714	0.0154798761609907	0.00380228136882129	0.00421940928270042	0	0	0.0196078431372549	0.0208333333333333	0.0256410256410256	0	0
RP1-249H1.3	0.0195121951219512	0.0260162601626016	0.0298913043478261	0.04	0.0402476780185759	0.0228136882129278	0.0337552742616034	0.0631578947368421	0.0147058823529412	0.117647058823529	0	0.0256410256410256	0	0
PCDHB19P	0	0.0032520325203252	0	0	0.00309597523219814	0	0	0	0	0.0196078431372549	0.0208333333333333	0	0	0
SLC25A14	0.0195121951219512	0.00650406504065041	0	0.0171428571428571	0.0123839009287926	0.00760456273764259	0.0168776371308017	0	0.0147058823529412	0	0	0	0.0588235294117647	0
FAAP100	0.0276422764227642	0.032520325203252	0.0190217391304348	0.0171428571428571	0.0340557275541796	0.0304182509505703	0.0337552742616034	0.0210526315789474	0.0294117647058824	0.0196078431372549	0.0416666666666667	0.0256410256410256	0.117647058823529	0
PRORSD1P	0.0048780487804878	0.0048780487804878	0.00271739130434783	0.00285714285714286	0	0	0.00843881856540084	0	0	0.0196078431372549	0	0	0	0
DNM1	0.00975609756097561	0.00650406504065041	0	0.00285714285714286	0.021671826625387	0.00760456273764259	0	0	0	0	0	0.0512820512820513	0	0
DHFRL1	0.0829268292682927	0.024390243902439	0.0271739130434783	0.02	0.0309597523219814	0.0608365019011407	0	0.0421052631578947	0.0882352941176471	0.0588235294117647	0.0208333333333333	0.102564102564103	0	0
CCP110	0.0276422764227642	0.024390243902439	0.0217391304347826	0.0428571428571429	0.13312693498452	0.0380228136882129	0.0168776371308017	0.0315789473684211	0.117647058823529	0.0392156862745098	0.0625	0.0256410256410256	0.0588235294117647	0
STARD8	0.00975609756097561	0	0.0597826086956522	0.00285714285714286	0.0123839009287926	0.00760456273764259	0.135021097046413	0	0	0	0	0	0	0
RP11-314C16.1	0.0016260162601626	0.0032520325203252	0	0.00285714285714286	0.00928792569659443	0	0	0	0	0	0	0	0	0
ANKRD20A8P	0	0.0048780487804878	0.00271739130434783	0	0.00309597523219814	0.00380228136882129	0	0	0	0	0	0	0	0
TICRR	0	0.0032520325203252	0	0.00285714285714286	0.0185758513931889	0	0	0	0	0	0	0	0	0
SNX11	0.0016260162601626	0.0032520325203252	0.0353260869565217	0.0171428571428571	0.0154798761609907	0.0114068441064639	0.0126582278481013	0.0210526315789474	0.0147058823529412	0.0196078431372549	0.0416666666666667	0	0	0
CNTLN	0.016260162601626	0.0308943089430894	0.0244565217391304	0.0314285714285714	0.0835913312693498	0.0152091254752852	0.029535864978903	0.0631578947368421	0.102941176470588	0	0.104166666666667	0.102564102564103	0	0
SKA2	0.123577235772358	0.0780487804878049	0.0271739130434783	0.0771428571428571	0.315789473684211	0.102661596958175	0.0970464135021097	0.126315789473684	0.0147058823529412	0.0392156862745098	0.104166666666667	0.128205128205128	0.0588235294117647	0
CIB1	0.185365853658537	0.107317073170732	0.252717391304348	0.137142857142857	0.179566563467492	0.102661596958175	0.130801687763713	0.105263157894737	0.191176470588235	0.117647058823529	0.0208333333333333	0.282051282051282	0.235294117647059	0
KB-1125A3.11	0.00650406504065041	0.0016260162601626	0	0.00571428571428571	0.00619195046439629	0	0	0	0	0	0	0	0	0
NDUFB9	0.596747967479675	0.416260162601626	0.239130434782609	0.32	0.365325077399381	0.452471482889734	0.181434599156118	0.347368421052632	0.426470588235294	0.352941176470588	0.458333333333333	0.743589743589744	0	0.125
SUMO2P7	0.0016260162601626	0.0016260162601626	0	0	0.021671826625387	0.00380228136882129	0.00421940928270042	0	0	0	0	0	0	0
RP1-266L20.9	0.00650406504065041	0.0016260162601626	0	0.00571428571428571	0.00309597523219814	0.00380228136882129	0.00421940928270042	0	0	0	0	0	0	0
SH3TC2	0.00650406504065041	0	0	0.00857142857142857	0	0.00380228136882129	0	0	0.0294117647058823	0	0	0	0	0
YBX1P1	0.00650406504065041	0.0178861788617886	0.0353260869565217	0.0257142857142857	0.0309597523219814	0.0152091254752852	0.0168776371308017	0.0210526315789474	0.0147058823529412	0	0.0208333333333333	0	0	0
MTRR	0.0276422764227642	0.0113821138211382	0.0135869565217391	0.0171428571428571	0.021671826625387	0.0190114068441065	0.00421940928270042	0	0	0	0	0.0512820512820513	0	0
GS1-166A23.2	0	0.00813008130081301	0	0.00285714285714286	0	0	0.00421940928270042	0	0	0	0	0	0	0
CCDC186	0.0211382113821138	0.0276422764227642	0.0190217391304348	0.0228571428571429	0.0123839009287926	0.0152091254752852	0.194092827004219	0.031578947368421	0.0147058823529412	0.0196078431372549	0	0.0256410256410256	0	0.125
ZNF784	0.0113821138211382	0.0032520325203252	0.00271739130434783	0.00571428571428571	0.00309597523219814	0.00380228136882129	0	0	0	0.0392156862745098	0.0208333333333333	0	0	0
AL139319.1	0	0.0032520325203252	0	0	0.00309597523219814	0.00760456273764259	0.00421940928270042	0	0	0	0	0	0	0
PIAS1	0.0569105691056911	0.0650406504065041	0.0923913043478261	0.0857142857142857	0.0557275541795666	0.064638783269962	0.164556962025316	0.0526315789473684	0.0147058823529412	0.0784313725490196	0.0208333333333333	0.0769230769230769	0.176470588235294	0
RTN1	0.0227642276422764	0.00650406504065041	0.00543478260869565	0.00571428571428571	0.00928792569659443	0	0.0886075949367089	0.0105263157894737	0.0882352941176471	0.0196078431372549	0	0.0512820512820513	0	0
HOXA11	0	0.0032520325203252	0	0.00285714285714286	0.00619195046439629	0	0	0	0	0	0	0.0256410256410256	0	0
ABHD12	0.130081300813008	0.0731707317073171	0.111413043478261	0.0571428571428571	0.114551083591331	0.0684410646387833	0.0464135021097046	0.0526315789473684	0.0735294117647059	0.176470588235294	0.0208333333333333	0.153846153846154	0	0
RHOG	0.032520325203252	0.0276422764227642	0.25	0.0285714285714286	0.0247678018575851	0.0494296577946768	0.0632911392405063	0.105263157894737	0.279411764705882	0	0	0.0256410256410256	0.176470588235294	0.5
KATNBL1P6	0.0113821138211382	0.00650406504065041	0.00271739130434783	0.00857142857142857	0.0154798761609907	0	0.00421940928270042	0	0	0.0196078431372549	0	0.0256410256410256	0	0
KDELR2	0.146341463414634	0.250406504065041	0.269021739130435	0.24	0.346749226006192	0.114068441064639	0.20253164556962	0.252631578947368	0.102941176470588	0.215686274509804	0.1875	0.128205128205128	0.647058823529412	0.25
FLT4	0	0	0	0	0.00309597523219814	0	0.156118143459916	0.0105263157894737	0	0	0	0	0	0
CTC-510F12.4	0.00650406504065041	0.0016260162601626	0.00271739130434783	0	0	0.00380228136882129	0	0	0.0294117647058823	0	0	0	0	0
RP11-270L13.1	0.0016260162601626	0.00813008130081301	0.00271739130434783	0	0.00309597523219814	0.00380228136882129	0.00843881856540084	0.0105263157894737	0	0.0196078431372549	0	0	0	0
