	0	1	2	3	4	5	6	7	8	9	10	11
ZNF367	0	0	0	0.00757575757575758	0.00775193798449612	0.0403225806451613	0	0	0	0.03125	0	0
SULT1B1	0.00578034682080925	0	0	0.00757575757575758	0	0.0161290322580645	0	0.012987012987013	0	0	0	0.027027027027027
AL590762.11	0.00578034682080925	0.029585798816568	0.0328947368421053	0.00757575757575758	0.0310077519379845	0.00806451612903226	0	0.012987012987013	0.0298507462686567	0.015625	0	0.027027027027027
HDHD2	0.109826589595376	0.171597633136095	0.125	0.053030303030303	0.178294573643411	0.0887096774193548	0.0824742268041237	0.025974025974026	0.0746268656716418	0.046875	0.025	0.027027027027027
RP11-384C12.1	0	0.00591715976331361	0	0	0.00775193798449612	0	0	0	0.0149253731343284	0	0.025	0.054054054054054
TMEM53	0	0.029585798816568	0.0131578947368421	0	0	0	0	0.012987012987013	0	0.046875	0.125	0
AC108039.1	0.0115606936416185	0	0	0	0	0.00806451612903226	0.0103092783505155	0	0.0447761194029851	0	0	0
RP1-249H1.3	0.069364161849711	0.0650887573964497	0.0855263157894737	0.0984848484848485	0.0465116279069767	0.104838709677419	0.0103092783505155	0.142857142857143	0.223880597014925	0.15625	0.05	0.0810810810810811
SLC25A14	0	0.0355029585798817	0.0460526315789474	0	0.0387596899224806	0.00806451612903226	0	0	0	0.015625	0.075	0
FAAP100	0.0635838150289017	0.0473372781065089	0.0263157894736842	0.106060606060606	0.0387596899224806	0.032258064516129	0.123711340206186	0.0649350649350649	0.0447761194029851	0.046875	0.05	0.054054054054054
DNM1	0	0.00591715976331361	0.0263157894736842	0	0	0	0	0	0	0	0	0
DHFRL1	0	0.0177514792899408	0.0131578947368421	0	0	0.00806451612903226	0	0	0	0	0.025	0
CCP110	0.023121387283237	0.0118343195266272	0.0328947368421053	0.0378787878787879	0.0232558139534884	0.032258064516129	0.0103092783505155	0.012987012987013	0.0149253731343284	0.015625	0.05	0.027027027027027
STARD8	0.161849710982659	0	0.00657894736842105	0.113636363636364	0	0.0806451612903226	0.185567010309278	0.012987012987013	0	0	0	0.108108108108108
SNX11	0.0289017341040462	0.0236686390532544	0.0197368421052632	0.0454545454545454	0.0310077519379845	0.0241935483870968	0.0618556701030928	0.0519480519480519	0	0.046875	0.025	0
CNTLN	0	0.0236686390532544	0	0.0151515151515152	0.0232558139534884	0.0403225806451613	0	0.025974025974026	0	0	0.025	0
SKA2	0.023121387283237	0.118343195266272	0.105263157894737	0.0151515151515152	0.124031007751938	0.0967741935483871	0	0	0.104477611940299	0.046875	0.05	0.0810810810810811
CIB1	0.346820809248555	0.14792899408284	0.230263157894737	0.242424242424242	0.10077519379845	0.435483870967742	0.34020618556701	0.220779220779221	0.388059701492537	0.203125	0	0.0810810810810811
NDUFB9	0.202312138728324	0.254437869822485	0.394736842105263	0.287878787878788	0.317829457364341	0.241935483870968	0.288659793814433	0.233766233766234	0.149253731343284	0.234375	0.4	0.162162162162162
SUMO2P7	0	0.00591715976331361	0	0	0	0	0	0	0	0	0	0
YBX1P1	0.0173410404624277	0.0473372781065089	0.0394736842105263	0.00757575757575758	0.0465116279069767	0.0161290322580645	0.0412371134020618	0	0.0597014925373134	0.0625	0.15	0
MTRR	0.0346820809248555	0.0650887573964497	0.0394736842105263	0.00757575757575758	0.0155038759689922	0.00806451612903226	0.0206185567010309	0.012987012987013	0	0.046875	0.025	0
CCDC186	0.0173410404624277	0.00591715976331361	0.0263157894736842	0.0378787878787879	0.00775193798449612	0.0241935483870968	0.0103092783505155	0.025974025974026	0.0597014925373134	0.046875	0	0.027027027027027
ZNF784	0.023121387283237	0.0118343195266272	0.00657894736842105	0	0.00775193798449612	0.0241935483870968	0.0206185567010309	0.012987012987013	0	0	0	0.054054054054054
CYCSP24	0	0	0	0	0	0.00806451612903226	0	0.012987012987013	0.0298507462686567	0.015625	0	0.027027027027027
PIAS1	0.0867052023121387	0.0473372781065089	0.0197368421052632	0.113636363636364	0.0387596899224806	0.0887096774193548	0.144329896907216	0.051948051948052	0.0447761194029851	0.0625	0.175	0.0810810810810811
RTN1	0.046242774566474	0.0236686390532544	0.00657894736842105	0.053030303030303	0.0465116279069767	0.0725806451612903	0.0515463917525773	0.012987012987013	0	0	0.025	0.027027027027027
ABHD12	0.167630057803468	0.0828402366863905	0.0921052631578947	0.265151515151515	0.062015503875969	0.137096774193548	0.360824742268041	0.0779220779220779	0.0149253731343284	0.046875	0.075	0.0810810810810811
SLC16A5	0.0346820809248555	0.0118343195266272	0	0.00757575757575758	0	0.00806451612903226	0	0	0	0	0	0
RHOG	0.254335260115607	0.0473372781065089	0.0394736842105263	0.340909090909091	0.108527131782946	0.274193548387097	0.298969072164948	0.194805194805195	0.149253731343284	0.25	0.05	0.027027027027027
KDELR2	0.236994219653179	0.390532544378698	0.263157894736842	0.113636363636364	0.302325581395349	0.161290322580645	0.206185567010309	0.298701298701299	0.104477611940299	0.53125	0.45	0.675675675675676
CTC-510F12.4	0.00578034682080925	0.00591715976331361	0.00657894736842105	0	0	0.0403225806451613	0	0.012987012987013	0.0149253731343284	0	0	0
ZSCAN9	0.023121387283237	0.00591715976331361	0.0328947368421053	0	0.0387596899224806	0.0241935483870968	0.0206185567010309	0	0	0.015625	0.15	0
CTC-471J1.10	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A25-AS1	0.00578034682080925	0.00591715976331361	0.00657894736842105	0	0.0155038759689922	0.0241935483870968	0.0412371134020618	0	0.0447761194029851	0	0	0.027027027027027
