"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"EGFR" 0 0.733247466076836 0.982 0.934 0 "0" "EGFR"
"OLIG1" 0 0.645396383530961 0.793 0.708 0 "0" "OLIG1"
"MT-CO1" 0 0.645106898279438 0.909 0.865 0 "0" "MT-CO1"
"PTPRZ1" 0 0.595095630587152 0.937 0.866 0 "0" "PTPRZ1"
"CST3" 0 0.588720895987591 0.984 0.94 0 "0" "CST3"
"DBI" 0 0.52606106244574 0.989 0.962 0 "0" "DBI"
"ATP1B2" 0 0.455259015330385 0.924 0.879 0 "0" "ATP1B2"
"MT3" 0 0.43663327138723 0.996 0.978 0 "0" "MT3"
"HOPX" 0 0.328558586612761 0.865 0.843 0 "0" "HOPX"
"TRIO" 0 0.325942831588912 0.794 0.737 0 "0" "TRIO"
"NES" 3.25547656622458e-280 0.34730226094759 0.856 0.793 6.51095313244916e-277 "0" "NES"
"SLC4A4" 1.88533131403219e-271 0.251560373595126 0.797 0.797 3.77066262806439e-268 "0" "SLC4A4"
"PTN" 6.6216553626474e-262 0.414553034638764 0.993 0.973 1.32433107252948e-258 "0" "PTN"
"MT-CO2" 1.5855262814056e-238 0.577100972073533 0.913 0.872 3.1710525628112e-235 "0" "MT-CO2"
"C1orf61" 7.26117052792782e-205 0.387743979473725 0.946 0.899 1.45223410558556e-201 "0" "C1orf61"
"MT-CO3" 5.62507686283975e-198 0.554625194281303 0.91 0.858 1.12501537256795e-194 "0" "MT-CO3"
"FXYD6" 1.34217440601468e-191 0.298857098234159 0.867 0.845 2.68434881202935e-188 "0" "FXYD6"
"BCAN" 1.74583205899493e-185 0.359009669088378 0.829 0.771 3.49166411798985e-182 "0" "BCAN"
"HLA-A" 8.00418252281686e-164 0.467289014277777 0.975 0.954 1.60083650456337e-160 "0" "HLA-A"
"UBE2C" 4.17220243142951e-159 -0.294718787386944 0.397 0.595 8.34440486285901e-156 "0" "UBE2C"
"ETV1" 2.37906112814889e-158 0.33796359517827 0.713 0.68 4.75812225629777e-155 "0" "ETV1"
"HMGB2" 6.14829678768363e-152 -0.359558641249026 0.495 0.672 1.22965935753673e-148 "0" "HMGB2"
"MT-RNR2" 7.36462259964709e-152 0.681199755809263 0.939 0.902 1.47292451992942e-148 "0" "MT-RNR2"
"PTTG1" 6.01463498250287e-143 -0.281060306337472 0.432 0.636 1.20292699650057e-139 "0" "PTTG1"
"FTL" 5.5051028354031e-139 -0.788837730850073 0.866 0.913 1.10102056708062e-135 "0" "FTL"
"S100B" 6.67883665035798e-137 0.284964623049807 0.824 0.8 1.3357673300716e-133 "0" "S100B"
"MT-ATP6" 1.72745432862588e-135 0.360202755250986 0.851 0.809 3.45490865725176e-132 "0" "MT-ATP6"
"GPM6A" 3.73929144101412e-133 0.267118268123871 0.83 0.79 7.47858288202824e-130 "0" "GPM6A"
"BIRC5" 6.03572802543703e-123 -0.257288342580892 0.517 0.688 1.20714560508741e-119 "0" "BIRC5"
"SRGN" 6.33964343546517e-123 -0.393004460153663 0.238 0.471 1.26792868709303e-119 "0" "SRGN"
"MT-ND1" 2.80426839167996e-115 0.272307707808833 0.82 0.824 5.60853678335992e-112 "0" "MT-ND1"
"HLA-DRB1" 1.59206890066256e-114 -0.429257081525875 0.254 0.483 3.18413780132513e-111 "0" "HLA-DRB1"
"APOE" 4.08494783975246e-112 -1.06035045774216 0.836 0.897 8.16989567950492e-109 "0" "APOE"
"TMSB10" 7.22608959282728e-110 -0.446913894179195 0.956 0.973 1.44521791856546e-106 "0" "TMSB10"
"CYBA" 4.47296708937717e-107 -0.263007967458256 0.283 0.496 8.94593417875434e-104 "0" "CYBA"
"HLA-C" 2.20263505793084e-103 0.345346964315153 0.952 0.931 4.40527011586169e-100 "0" "HLA-C"
"STMN1" 2.27689927592736e-102 -0.314476512007345 0.568 0.729 4.55379855185472e-99 "0" "STMN1"
"CCND2" 4.52917716699554e-99 0.278720445234391 0.71 0.682 9.05835433399109e-96 "0" "CCND2"
"H2AFZ" 1.63989944838445e-97 -0.376246874532897 0.548 0.686 3.27979889676889e-94 "0" "H2AFZ"
"RGS5" 3.78111046934208e-90 -0.340063159914149 0.581 0.721 7.56222093868416e-87 "0" "RGS5"
"IFI6" 2.4071189771331e-89 0.46257145888818 0.903 0.884 4.8142379542662e-86 "0" "IFI6"
"HLA-B" 1.52074289843604e-87 0.423611326188709 0.977 0.967 3.04148579687209e-84 "0" "HLA-B"
"CSPG5" 8.27006632876912e-84 0.258808936460304 0.646 0.651 1.65401326575382e-80 "0" "CSPG5"
"A2M" 1.20459795492687e-83 -0.614993811270643 0.469 0.604 2.40919590985374e-80 "0" "A2M"
"LAPTM5" 2.47533290004409e-82 -0.320731228461959 0.311 0.497 4.95066580008817e-79 "0" "LAPTM5"
"ZFP36" 3.63675889251131e-75 -0.366258940169788 0.498 0.625 7.27351778502262e-72 "0" "ZFP36"
"CLDN5" 1.2431740962647e-71 -0.258460999590072 0.411 0.559 2.48634819252941e-68 "0" "CLDN5"
"CCL3" 3.74491747381055e-71 -0.359243579951452 0.238 0.429 7.4898349476211e-68 "0" "CCL3"
"CD74" 2.79479797407424e-61 -0.807786910915636 0.375 0.522 5.58959594814848e-58 "0" "CD74"
"SPARC" 1.37162624171127e-60 -0.367761813001543 0.919 0.91 2.74325248342253e-57 "0" "SPARC"
"ID3" 5.6189960038e-60 -0.262769304861062 0.279 0.459 1.12379920076e-56 "0" "ID3"
"SPP1" 2.09156998091966e-59 -0.640026181126015 0.34 0.505 4.18313996183933e-56 "0" "SPP1"
"TUBB" 7.00280352544296e-57 -0.310370821436027 0.543 0.651 1.40056070508859e-53 "0" "TUBB"
"DUSP1" 2.10662185593686e-51 -0.427268167950809 0.435 0.557 4.21324371187372e-48 "0" "DUSP1"
"HLA-DRA" 4.47364017989982e-51 -0.648827371671793 0.359 0.501 8.94728035979964e-48 "0" "HLA-DRA"
"HMGN2" 1.57342555378248e-47 -0.325428998040566 0.686 0.78 3.14685110756495e-44 "0" "HMGN2"
"SAT1" 3.45665305654277e-47 -0.457900932720002 0.49 0.603 6.91330611308555e-44 "0" "SAT1"
"GFAP" 4.08558854479383e-46 -0.997291928232327 0.635 0.738 8.17117708958766e-43 "0" "GFAP"
"FCGBP" 6.79440716070461e-43 -0.441336487036554 0.259 0.427 1.35888143214092e-39 "0" "FCGBP"
"RGS1" 1.66169267902575e-39 -0.341841839969327 0.265 0.43 3.32338535805151e-36 "0" "RGS1"
"FTLP3" 2.41330488804577e-39 -0.292158257263711 0.751 0.808 4.82660977609154e-36 "0" "FTLP3"
"JUNB" 8.17908398045263e-39 -0.269518397848873 0.513 0.615 1.63581679609053e-35 "0" "JUNB"
"LGALS1" 1.36394462646345e-38 -0.304921365364979 0.552 0.648 2.7278892529269e-35 "0" "LGALS1"
"IGFBP7" 1.15228629294633e-37 -0.884063284503206 0.655 0.749 2.30457258589266e-34 "0" "IGFBP7"
"CRYAB" 4.94374854374097e-37 -0.422748374957485 0.794 0.844 9.88749708748193e-34 "0" "CRYAB"
"FN1" 1.32158386731676e-33 -0.530854290523155 0.283 0.447 2.64316773463353e-30 "0" "FN1"
"COL4A1" 3.6644056722572e-31 -0.350656644431304 0.566 0.673 7.3288113445144e-28 "0" "COL4A1"
"TUBA1B" 3.84565242605412e-31 -0.599519556185359 0.812 0.822 7.69130485210823e-28 "0" "TUBA1B"
"CTSB" 1.23148763183891e-26 -0.275693691642521 0.589 0.662 2.46297526367781e-23 "0" "CTSB"
"SGK1" 1.55312163011331e-26 -0.284844537884813 0.303 0.434 3.10624326022661e-23 "0" "SGK1"
"HMGB1" 6.03260079486747e-26 -0.262836168319192 0.776 0.809 1.20652015897349e-22 "0" "HMGB1"
"C3" 1.85489003267302e-20 -0.331981996502341 0.238 0.389 3.70978006534603e-17 "0" "C3"
"C1QB" 7.91980890784775e-17 -0.474555737701698 0.269 0.387 1.58396178156955e-13 "0" "C1QB"
"MT1X" 5.66605945530974e-12 -0.431610824891734 0.885 0.911 1.13321189106195e-08 "0" "MT1X"
"MT1G" 7.05592866178025e-09 -0.266205214394612 0.755 0.81 1.41118573235605e-05 "0" "MT1G"
"CHI3L1" 5.45400511003176e-08 -0.272052059738092 0.671 0.706 0.000109080102200635 "0" "CHI3L1"
"CCL4" 6.97626728429217e-07 -0.250110408408533 0.253 0.357 0.00139525345685843 "0" "CCL4"
"GFAP.1" 0 2.38178311710177 0.971 0.667 0 "1" "GFAP"
"APOE.1" 0 2.15872461541149 0.996 0.863 0 "1" "APOE"
"CLU" 0 1.45755911394927 0.992 0.91 0 "1" "CLU"
"AQP4" 0 1.05406421819777 0.925 0.751 0 "1" "AQP4"
"CRYAB.1" 0 0.980791746208698 0.943 0.812 0 "1" "CRYAB"
"MT1X.1" 0 0.864480215491073 0.953 0.896 0 "1" "MT1X"
"FOS" 0 0.843223874707493 0.93 0.876 0 "1" "FOS"
"NMB" 0 0.827246012204871 0.931 0.812 0 "1" "NMB"
"ITM2C" 0 0.823127916927344 0.893 0.654 0 "1" "ITM2C"
"S100A6" 0 0.801069958299508 0.938 0.85 0 "1" "S100A6"
"ID3.1" 0 0.732524002679771 0.712 0.366 0 "1" "ID3"
"CHI3L1.1" 0 0.723464151261073 0.865 0.666 0 "1" "CHI3L1"
"BCAN.1" 0 0.684216040863179 0.917 0.754 0 "1" "BCAN"
"CPE" 0 0.670677108099043 0.953 0.866 0 "1" "CPE"
"ZFP36L2" 0 0.634533491193034 0.892 0.756 0 "1" "ZFP36L2"
"GADD45B" 0 0.577068481122176 0.786 0.563 0 "1" "GADD45B"
"AEBP1" 0 0.541758599853405 0.875 0.706 0 "1" "AEBP1"
"MT1G.1" 0 0.533661290705904 0.88 0.784 0 "1" "MT1G"
"ATP1A2" 0 0.507931449790134 0.825 0.632 0 "1" "ATP1A2"
"MT1M" 0 0.507083248477287 0.858 0.774 0 "1" "MT1M"
"C1orf61.1" 0 0.498909368016876 0.958 0.898 0 "1" "C1orf61"
"TTYH1" 0 0.488529235686408 0.873 0.77 0 "1" "TTYH1"
"AGT" 0 0.465791155683684 0.869 0.81 0 "1" "AGT"
"JUNB.1" 0 0.451385468213117 0.78 0.558 0 "1" "JUNB"
"GATM" 0 0.429143920730859 0.902 0.813 0 "1" "GATM"
"SOX9" 0 0.415357186705898 0.821 0.642 0 "1" "SOX9"
"CEBPD" 0 0.394032930177933 0.838 0.714 0 "1" "CEBPD"
"TSC22D4" 0 0.385119283730122 0.947 0.913 0 "1" "TSC22D4"
"EDNRB" 0 0.377648775614696 0.792 0.692 0 "1" "EDNRB"
"PLTP" 0 0.37703815146449 0.859 0.707 0 "1" "PLTP"
"CNN3" 0 0.37590218459843 0.884 0.792 0 "1" "CNN3"
"RAMP1" 0 0.375870830889401 0.908 0.842 0 "1" "RAMP1"
"NKAIN4" 0 0.374275761682502 0.877 0.648 0 "1" "NKAIN4"
"ATP1B2.1" 0 0.359408143997479 0.912 0.883 0 "1" "ATP1B2"
"TIMP3" 0 0.35935429037753 0.784 0.647 0 "1" "TIMP3"
"SLC1A3" 0 0.333620732081259 0.871 0.773 0 "1" "SLC1A3"
"LFNG" 0 0.316148421005413 0.857 0.803 0 "1" "LFNG"
"F3" 0 0.308432123518747 0.803 0.675 0 "1" "F3"
"ADCYAP1R1" 0 0.30277408749741 0.804 0.677 0 "1" "ADCYAP1R1"
"FAM107A" 0 0.30178360855132 0.686 0.32 0 "1" "FAM107A"
"FGFR3" 0 0.295224899250896 0.784 0.655 0 "1" "FGFR3"
"IFITM3" 0 0.293907933115145 0.918 0.874 0 "1" "IFITM3"
"DTNA" 0 0.258989071086016 0.707 0.482 0 "1" "DTNA"
"MAOB" 0 0.257320627430981 0.744 0.517 0 "1" "MAOB"
"MLC1" 0 0.252998566957608 0.853 0.832 0 "1" "MLC1"
"FABP5" 1.17396384730363e-299 0.475958585972972 0.883 0.768 2.34792769460726e-296 "1" "FABP5"
"IGFBP7.1" 3.84101251949291e-298 -0.392884629834446 0.813 0.715 7.68202503898583e-295 "1" "IGFBP7"
"PON2" 3.92252811170275e-289 0.332349970609824 0.903 0.87 7.84505622340549e-286 "1" "PON2"
"ZFP36.1" 2.29579027377992e-282 0.458038729146585 0.764 0.567 4.59158054755983e-279 "1" "ZFP36"
"TMSB10.1" 3.01287398704172e-275 -0.696675475999418 0.951 0.973 6.02574797408344e-272 "1" "TMSB10"
"NDRG2" 3.51964966050309e-270 0.284886378379882 0.689 0.456 7.03929932100618e-267 "1" "NDRG2"
"MT1E" 3.19166553774904e-251 0.34295447559957 0.77 0.632 6.38333107549807e-248 "1" "MT1E"
"ID4" 1.13749676376932e-233 0.339394742062539 0.624 0.434 2.27499352753864e-230 "1" "ID4"
