	0	1	2	3	4	5	6	7	8	9	10	11	12
AC007228.11	0.0107238605898123	0.00666666666666667	0	0.00442477876106195	0	0	0.00588235294117647	0	0.018348623853211	0	0	0	0
ZNF367	0.0160857908847185	0.0133333333333333	0.063758389261745	0.207964601769911	0.0285714285714286	0.037037037037037	0.0235294117647059	0.0714285714285714	0.00917431192660551	0.107142857142857	0.0151515151515152	0	0
SULT1B1	0.00536193029490617	0.00333333333333333	0.00335570469798658	0	0	0	0	0.00714285714285714	0	0	0	0	0
TRIM63	0.00268096514745308	0.00666666666666667	0	0.00442477876106195	0	0	0	0	0.00917431192660551	0.178571428571429	0	0	0
AL590762.11	0.0536193029490617	0.0333333333333333	0.087248322147651	0.115044247787611	0.0476190476190476	0.0634920634920635	0.0647058823529412	0.1	0.0458715596330275	0.0357142857142857	0	0.0454545454545455	0.1
HDHD2	0.14745308310992	0.153333333333333	0.174496644295302	0.176991150442478	0.228571428571429	0.333333333333333	0.188235294117647	0.142857142857143	0.146788990825688	0.142857142857143	0.0757575757575758	0.0909090909090909	0.1
MORF4L2-AS1	0	0.00333333333333333	0	0	0	0	0	0.00714285714285714	0.00917431192660551	0.0238095238095238	0	0	0
RP11-298I3.4	0.00804289544235925	0.00333333333333333	0	0.00442477876106195	0	0	0	0	0	0	0	0	0
TMEM53	0.0187667560321716	0.0366666666666667	0.0134228187919463	0.00884955752212389	0.0142857142857143	0.0264550264550265	0.0529411764705882	0.0142857142857143	0.036697247706422	0.0119047619047619	0	0.0454545454545455	0.1
CTA-796E4.4	0	0.01	0.00671140939597315	0.00884955752212389	0	0	0	0	0	0	0	0	0
RP11-517B11.7	0.00268096514745308	0.01	0.00335570469798658	0.00884955752212389	0.0238095238095238	0.0105820105820106	0.0176470588235294	0.00714285714285714	0	0.0119047619047619	0.0151515151515152	0	0
HRAT92	0	0	0.0100671140939597	0.00884955752212389	0.00476190476190476	0.0740740740740741	0	0.0142857142857143	0	0	0	0	0
AC108039.1	0.00804289544235925	0	0.0134228187919463	0.0176991150442478	0	0.0264550264550265	0.0176470588235294	0	0.0275229357798165	0	0	0	0
RP1-249H1.3	0.0160857908847185	0.03	0.0436241610738255	0.0398230088495575	0.0142857142857143	0.0317460317460317	0.0294117647058824	0.0571428571428571	0.018348623853211	0.0119047619047619	0.0303030303030303	0.0454545454545455	0
ZBTB12	0	0	0	0	0	0	0.00588235294117647	0	0.00917431192660551	0.0119047619047619	0	0	0
SLC25A14	0.0563002680965147	0.04	0.0436241610738255	0.0663716814159292	0.0238095238095238	0.0476190476190476	0.0470588235294118	0.05	0.018348623853211	0	0.0303030303030303	0	0
FAAP100	0.150134048257373	0.106666666666667	0.130872483221476	0.0884955752212389	0.138095238095238	0.158730158730159	0.147058823529412	0.0714285714285714	0.110091743119266	0.0357142857142857	0.0909090909090909	0.0454545454545455	0
PRORSD1P	0.00536193029490617	0.00666666666666667	0.0100671140939597	0	0	0	0	0	0.00917431192660551	0	0	0	0
DNM1	0.101876675603217	0.0466666666666667	0.0838926174496644	0.0575221238938053	0.0666666666666667	0.0211640211640212	0.0823529411764706	0.0357142857142857	0.100917431192661	0	0	0.0909090909090909	0
DHFRL1	0.0455764075067024	0.0866666666666667	0.063758389261745	0.0575221238938053	0.00476190476190476	0.0634920634920635	0.0823529411764706	0.0428571428571429	0.155963302752294	0	0.0151515151515152	0.0454545454545455	0
CCP110	0.0750670241286863	0.06	0.0838926174496644	0.243362831858407	0.0333333333333333	0.0476190476190476	0.0882352941176471	0.128571428571429	0.119266055045872	0.261904761904762	0.0454545454545455	0.0454545454545455	0
STARD8	0.00536193029490617	0.00666666666666667	0.00671140939597315	0.00442477876106195	0.019047619047619	0.0158730158730159	0.0117647058823529	0.0357142857142857	0	0.0119047619047619	0.0606060606060606	0	0.2
RP11-314C16.1	0.00268096514745308	0.00333333333333333	0	0	0	0	0.0235294117647059	0	0	0.0119047619047619	0	0	0
ANKRD20A8P	0.00536193029490617	0.00666666666666667	0	0.00442477876106195	0	0.00529100529100529	0	0	0	0	0	0	0
TICRR	0.0160857908847185	0.00333333333333333	0.0302013422818792	0.0398230088495575	0.00476190476190476	0.0158730158730159	0.00588235294117647	0.114285714285714	0.00917431192660551	0	0	0	0
SNX11	0.0455764075067024	0.06	0.0604026845637584	0.0884955752212389	0.0666666666666667	0.0529100529100529	0.0588235294117647	0.15	0.0275229357798165	0.0357142857142857	0.0454545454545455	0.227272727272727	0
CNTLN	0.0348525469168901	0.07	0.0268456375838926	0.0442477876106195	0.0142857142857143	0.0158730158730159	0	0.0285714285714286	0.00917431192660551	0.0119047619047619	0.0303030303030303	0	0
